text,likes,replies,predicted_stance
Do not trust a war criminal.,33,0,pro-Gaza/Palestine
"""We're not gonna occupy Gaza"" (after our gov voted to occupy Gaza)",22,0,pro-Gaza/Palestine
He literally said a few days ago that he fully intends to occupy Gaza!!!,25,2,pro-Gaza/Palestine
I just watched Netanyahoo say they are taken Gaza and occupying! Who is lying?,102,7,pro-Gaza/Palestine
"Right, Israel's not going to occupy Gaza, just like they don't occupy the West Bank.",92,7,pro-Gaza/Palestine
Please ICC arrest Netanyahu now,78,5,pro-Gaza/Palestine
Even two Israeli human rights groups and six Israeli genocide scholars have declared that Israel has been committing genocide.,46,3,pro-Israel/anti-Hamas
Netanyahu think the worId is stupid,86,3,pro-Gaza/Palestine
God bless the people of Palestine. Today tomorrow forever.,71,1,pro-Gaza/Palestine
I’ve never seen anyone lie as much as this guy ever in my life,11,2,pro-Gaza/Palestine
"Avner Cohen, former Israeli Religious Affairs Official, who worked in Gaza for over two Decades, said. ""Hamas to my great regret, is Israel's Creation.""",16,0,pro-Israel/anti-Hamas
He wants someone else to deal w his problem.,17,0,pro-Gaza/Palestine
Nobody trust him!! International Court Where are you?,2,0,pro-Israel/anti-Hamas
The Hague must intervene.,2,0,pro-Israel/anti-Hamas
"That's interesting ... then why are there blueprints with new roads, bridges, etc.. for Gaza. It's one big ""Land Grab"" for oligarchs.",11,0,pro-Gaza/Palestine
He even faked his real name.,5,0,pro-Gaza/Palestine
He also insists there is no starvation....so....,1,0,pro-Gaza/Palestine
Liar.,33,1,pro-Gaza/Palestine
"US, stop supporting Israel",4,0,pro-Gaza/Palestine
"Has killing, starving, displacing people and destroying their property in the Gaza Strip become an anti-Semitic issue?",2,0,pro-Gaza/Palestine
Release the Epstein files,6,0,neutral
…and Israel is not systematically killing Palestinians either,18,1,pro-Gaza/Palestine
"Sure, bebe~ and i was born off of a turnip truck last night.",15,0,pro-Gaza/Palestine
We'll appoint someone who doesn't hate us!?,1,0,neutral
No doubt this guy is pure evil.,3,0,pro-Gaza/Palestine
Well imagine that it's going to be Mass confusion down there,1,0,neutral
He’s taking his country down,4,0,neutral
"Umm he's lying... Like, terrible framing cnn",7,0,pro-Gaza/Palestine
She’s the news anchor “formerly known as smart”.,6,1,neutral
This liar just lied there is no starving in Gaza lol Arrest this war criminal.,1,0,pro-Gaza/Palestine
"Those who would give up essential Liberty, to purchase a little temporary Safety, deserve neither - Ben Franklin",1,0,neutral
News Flash CNN Israel slopaganda: He’s lying.,1,0,pro-Gaza/Palestine
We tried this in Iraq…,3,0,neutral
If the platform is formerly known as Twitter why the hell do you have to keep saying Twitter?,3,0,neutral
YouTube censorship should get a bag from Dick's Sporting goods & eat it.,5,0,neutral
"To be honest, nobody should want to occupy Gaza. Benjamin has too much blood on his hands. That’s the worst kind of business practice.",4,0,pro-Gaza/Palestine
"It is better for the American administration not to bring shame on the American people, whose human forces are trying to express their complete rejection of participating in the genocide of humanity.",1,0,neutral
"Netanyahu insists Israel won't occupy The Trump Gaza Junior Strip Club, we do have ethics.",3,0,pro-Israel/anti-Hamas
