text,likes,replies,predicted_stance
No child should ever die from starvation.,88,10,pro-Gaza/Palestine
"This is horrible, this is 2025 it doesn't matter what country you live in This should never ever happen to human beings.",50,11,pro-Gaza/Palestine
They’re being deliberately starved. They’re not “facing starvation”. Disgusting coverage,75,5,pro-Gaza/Palestine
"I may not understand war, but one thing is certain, we are all human beings, and our shared humanity should always come first.",34,0,pro-Gaza/Palestine
A good reminder of how blessed some of us are.,24,3,pro-Gaza/Palestine
"Meanwhile there leaders are living like kings,imagine that.",30,2,pro-Gaza/Palestine
Shame on humanity,76,9,pro-Gaza/Palestine
"Children, especially infants and young children, are disproportionately affected by starvation and malnutrition compared to their parents due to their critical need for nutrients for growth and development and their higher vulnerability to deficiencies. They have a faster metabolism as well. They are at a higher risk of mortality.",50,13,pro-Gaza/Palestine
Egypt has a Border also with Gaza but media makes sure Nobody knows.,14,3,pro-Gaza/Palestine
Who is starving them CNN?,69,10,pro-Gaza/Palestine
Ireland and the British in the 1840's. American Indians and the USA in the 1870s. Ukraine and Stalin in the 1930's. The Jews and Germany in the 1940's. The list goes on... The Israeli government has learned how to fight a whole people group into death from hunger from the cruelest people.,4,0,pro-Gaza/Palestine
This is disgusting,10,0,neutral
"As a Christian, I cannot imagine allowing this to happen to even the families of my enemy in a war. Shame on the occupier. God will bring them to account.",17,10,pro-Gaza/Palestine
Deadly starvation?! Is there any other type? Does a hyperbolic sixth grader write your headlines?,2,0,pro-Gaza/Palestine
"In the last 24 hours 18 deaths were caused by forced starvation by the “idf” (“israeli defense force”), which is really just a Military Force for the Occupation of Palestine. The Balfour Declaration of 1917 by the British Government, is what allowed this occupation of Palestine by Europeans hellbent on having a “state of israel” to happen in the first place, leaving defenseless Palestinians to a mere strip of land called Gaza. Palestinians never had a real military, so they weren’t able to properly defend their land. It’s so sad. Hamas was just trying to give some type of fight. It’s all they could do, or keep being abused and taken advantage of by criminal Europeans claiming that Palestine is “israel”. The UN approved it in 1948 SMH UNBELIEVABLE! I’m American, but I have SUCH A BIG FEELING, that Iran bomb situation was just a warning to Iran and the rest of the Arab nations to think twice, before helping the Palestinians. I CANNOT STAND LIVING IN THIS UNITED STATES OF PEDOPHILES AND SLAVES ANYMORE!",1,0,pro-Gaza/Palestine
Turn the tables around and see the backlash of these hypocrites. Imagine muslims doing this to the jews. The world would loose its mind.,7,1,pro-Gaza/Palestine
Hamas needs to stop starving them.,18,0,pro-Gaza/Palestine
"Remember, if you have to rely on someone else for your food, then you probably shouldn’t provoke them",9,5,pro-Gaza/Palestine
"It is unfortunate that children around the world will not eat such food, but they do not even get it, and for this reason they die.",19,2,pro-Gaza/Palestine
"""deadly starvation""?? Isn't most starvation deadly??",4,0,pro-Gaza/Palestine
its so sad to see this happening while everyone calls it propaganda. regardless of what you think starving children will NEVER be okay. i feel like people forget this started in the 1940s and isnt a recent thing.,2,0,neutral
My heart is broken for these poor little children. They should never have to face this. It’s so unfair for them that their parents did Oct 7th and caused this whole war.,10,0,pro-Gaza/Palestine
B.S. How can all the parents be in such good physical condition?,16,4,neutral
Mom looks so plump and healthy! So who's starving who?,10,0,pro-Gaza/Palestine
Who would have thought supporting a terrorist organization would lead to suffering for your people what a surprise,1,0,pro-Gaza/Palestine
Is there non-deadly starvation?,1,0,pro-Gaza/Palestine
"There are consequences for being bad neighbors, cutting their fences, invading, and kidnapping them. This does not happen to good neighbors who care for each other. Ever since the invasion that started the war, nobody has backed down and said sorry and tried to mend fences. They doubled down and let the situation get much worse. I can't fix the problems of the leaders. Yes casualties of war are ugly.",2,0,pro-Gaza/Palestine
WHAT!? WHAT DID THOSE BABIES DO THAT WAS SO TERRIBLE THEY WERE STARVED TO DEATH ️!? WHAT !?,26,9,pro-Gaza/Palestine
"That is so truly sad in this day and age for people to be starving...I send my love, blessings and prayers that the way be opened for these people to receive the aid they need",0,0,pro-Gaza/Palestine
"2.4 million food packages for 1.8 million people per day, plus UN food trucks 700 per day....and you keep up the lies...",8,0,pro-Gaza/Palestine
to the leaders maybe grow food instead of war,1,0,pro-Gaza/Palestine
Actual starving people look nothing like this. Propaganda.,4,0,pro-Gaza/Palestine
Her mother looks healthy,10,1,pro-Gaza/Palestine
Hamas propaganda,22,1,pro-Gaza/Palestine
"Tell Iran to smuggle food, not weapons.",6,0,pro-Gaza/Palestine
Maybe Hamas should spend more on food than rockets? You reap what you sow!,12,0,pro-Gaza/Palestine
Why would you get pregnant knowing the situation you're in?,1,0,pro-Gaza/Palestine
Absolutely unconscionable! 🇨🇦,0,0,pro-Gaza/Palestine
Shame on Hamas,3,0,pro-Israel/anti-Hamas
Mom doesn’t look starved.,8,0,pro-Gaza/Palestine
This is supposed to make us feel bad? Blame the Palestinian government for Hamas allowing what they do..,5,2,pro-Israel/anti-Hamas
Food aid is brought in free. Hammas charges them. Very sad.,8,3,pro-Gaza/Palestine
So do some of our Veterans. Where's the spotlight on that one?,2,0,pro-Gaza/Palestine
"Lord remember mercy, remember the little ones who are your inheritance.",3,0,pro-Gaza/Palestine
This is so very sad it's got to stop please,4,0,neutral
why are you having 12 kids,7,0,pro-Gaza/Palestine
Very evil! Shame on the world,15,2,pro-Gaza/Palestine
"Forget Israel. What about the other dozen+ Arab countries? Egypt, Libya, Emirates, Saudi Arabia? What about the Muslim millionaires/ billionaires globally?",3,0,pro-Gaza/Palestine
Hamas shouldn't hoard the resources sent.,5,0,pro-Gaza/Palestine
That is because their leader wants to fight and doesn’t care about them,1,0,pro-Gaza/Palestine
No one else in the video provided looks anything close to starving. Something seems a bit off,6,0,pro-Gaza/Palestine
Y'all are being played. This is propaganda. And y'all fell for it.,18,4,pro-Gaza/Palestine
Hamas needs to stop charging outrageous prices for flour and foodstuffs,0,0,pro-Gaza/Palestine
When will we ever be team humanity,0,0,pro-Gaza/Palestine
"I am sick of hearing about this. If you attack a nation you face consequences. If the penalty was certain annihilation, this wouldnt happen. So, maybe we will grow a hard heart, to ultimately save these children? They would live in peace and eat well",3,0,neutral
This is horrific,0,0,pro-Gaza/Palestine
Sad and hard to watch these poor people,0,0,pro-Gaza/Palestine
Why does the mom look like she hasn't missed a meal?,9,3,pro-Gaza/Palestine
Maybe they shouldn’t have declared war when they were low on resources,4,2,pro-Gaza/Palestine
GOD BLESS OUR KIDS,7,0,pro-Gaza/Palestine
I would be a skeleton long before my children starve. Too many healthy-looking adults around these poor dying kids.,0,0,pro-Gaza/Palestine
CNN over here spreading more lies.,6,0,neutral
"If that's true, what happened to the successful delivery of 25,000+ aid trucks? Why are the restaurants all over Gaza still functioning normally? Why is there an increasing population in Gaza despite more than 150,000 entering Egypt? The numbers don't add up.",8,2,pro-Gaza/Palestine
,1,0,pro-Gaza/Palestine
So now Israel is using the techniques that were used against their ancestors in Germany. That doesn't make this NOT a war crime.,0,0,pro-Israel/anti-Hamas
this is 72% fake,4,0,neutral
This never should happen!,0,0,pro-Gaza/Palestine
Hamas stealing their food.,3,0,pro-Gaza/Palestine
Mother looks well fed... Why is the child not? When I did my deployments overseas If there was a starving child the mother was worse... Also Hamas is taking all the resources and hording them... Forget to mention that fact???,3,0,pro-Gaza/Palestine
Ministry of Health of Gaza provides true facts that could be verified by journalist? You must be kidding me,7,0,pro-Gaza/Palestine
"Sinwar's Stone Soup with pepper, ketchup , a big bowl and large fork is not meeting nutritional standards ?!",0,0,pro-Gaza/Palestine
The woman seem well fed.,5,0,pro-Gaza/Palestine
Blame hamas. They aren't allowing the aid to get passed on.,3,0,pro-Gaza/Palestine
Like looking at a portal back in time. This just doesn’t make any sense today.,0,0,pro-Gaza/Palestine
Mommy sure looks well fed.,0,0,pro-Gaza/Palestine
Talk to Hamas they still haven’t returned all the hostages and they can stop this war tomorrow morning . Maybe the people ought to finally go against Hamas instead of helping them . I saw the US bring aid they acted so bad they had to leave and I guess the strong got the food they brought,3,0,pro-Israel/anti-Hamas
Womp womp. Don't start wars you can't win.,14,2,neutral
Remember October 7th… bad luck for you now ay,7,0,pro-Gaza/Palestine
I love choosing not to live in a place like that. 🇺🇸,0,0,pro-Gaza/Palestine
"It is happening live before the eyes of the world,",7,0,pro-Gaza/Palestine
Maybe you should give those hostages back?,5,0,pro-Gaza/Palestine
The mom stole all the food. That mom could go in a decades long hunger strike.,2,0,pro-Gaza/Palestine
