text,likes,replies,predicted_stance
Trump: You have no cards Zelensky Zelensky: I've got a card factory,625,66,pro-Ukraine
"Zelensky is one hell of a poker player for a man with ""no cards to play""... 🇺🇦",646,38,pro-Ukraine
Power to ALL the Ukrainian people. May God keep you all safe against the forces of evil.,194,2,pro-Ukraine
"Great news, good to hear! Thanks for the info ️",55,1,pro-Ukraine
Trump has done ZERO to stop Putin.,741,86,pro-Ukraine
This polish minister is so well spoken!,70,1,pro-Ukraine
Trump not helping Ukraine is such an enormous mistake for him. He is getting super bad advice on that one. gonna affect his legacy,487,45,pro-Ukraine
Trump can’t be happy about this. Time for an uncomfortable phone call with the Boss.,338,6,pro-Ukraine
Save Ukraine! 🇺🇦,249,9,pro-Ukraine
"The American people are with Zelenksyy and Ukraine, not Russia.",145,7,pro-Ukraine
Great Interview Please have Poland's Foreign Minister back on your program again. Such a smart and decisive man!! Thank You.,54,0,pro-Ukraine
Day 2000 of Putin's promise to take Kyiv in 3 days. What a mighty army of clowns,259,46,pro-Ukraine
"Thank you for covering Ukraine, seems to be brushed under the radar lately.",12,0,pro-Ukraine
Wasn't this war over when Trump was elected? He said...,292,27,pro-Ukraine
Slava Ukraini!!!,221,2,pro-Ukraine
Russia couldn’t stop a weather balloon,258,17,pro-Ukraine
"The stark difference between war criminal Pootin targeting civilians, and Ukraine selecting military targets is so telling.",108,3,pro-Ukraine
Russia is seriously just so pathetic lol,222,27,pro-Ukraine
This is the story of the war. Ukraine hits important DIB facilities while Russia hits apartment buildings and hospitals. What a winner.,61,0,pro-Ukraine
Radek Sikorski giving his commentary on the events in subject is always a pleasant surprise.,10,0,pro-Ukraine
SLAVA UKRAINI,50,0,pro-Ukraine
Ukraine way smarter than Russia,46,0,pro-Ukraine
"Ukraine is starting to take it to Putin. Don't worry about the front line, Russia has expended a massive amount of manpower and logistics efforts. Zelensky is a great leader and Ukraine will benefit from it. Sadly the US has a TACO for a leader and we'll all pay the price.",85,6,pro-Ukraine
"Japan 1904,Poland 1939, Finland 1939-40, Estonia, Latvia, Lithuania 1940,Hungary 1956,Czechoslovakia 1968, Afghanistan 1979, Moldova Transnistria 1991,Chechnya 1999, Georgia 2008, Crimea 2014, Ukraine 2022.",17,3,pro-Ukraine
Slava Ukraine 🇺🇦🇺🇦!!,215,14,pro-Ukraine
Ukraine will win!,66,4,pro-Ukraine
Slava Ukraine,55,1,pro-Ukraine
Much respect to Mr. Sikorski and greetings from Czech Republic.,4,0,pro-Ukraine
