text,likes,replies,predicted_stance
crazy how weapons have no problem finding their way into Gaza but food is an issue,483,30,pro-Gaza/Palestine
fox news viewers believing this guy over a veteran. new low,19,1,neutral
UN needs to be dismantled ASAP!!,298,4,pro-Gaza/Palestine
Time to cut off the UN of Federal funds,315,3,neutral
UN the face of terror,298,1,neutral
Why do we stay committed to the UN? How is the UN not held accountable?,282,22,neutral
They blame everyone except for Hamas.,182,9,pro-Gaza/Palestine
the un being shady....who would've guessed,192,6,neutral
We American taxpayers deserve accountability for the money we send to any organization foreign or domestic.,24,0,neutral
The facts really matter and the world needs to stop the gaslighting,46,1,pro-Gaza/Palestine
"The world knows already the truth and has seen it all. The evidence doesn’t lie, but cowards still do.",31,0,neutral
Ya I trust the West Point Green Berat,23,0,pro-Israel
"This guy has been to gaza 1 tine for a photo opp! Hes a lier, with absolutely zero proof of anything! Pls tell me people are smarter than this to believe its ""all hamas"" incert offence here........ b.s cover story ? Cone on, think about how much proof uve been shown with those accusations=0",6,0,pro-Gaza/Palestine
Johnnie isn't credible.,6,0,neutral
We need to kick the UN out of our United States,119,9,pro-Gaza/Palestine
No mercy! Get rid of the UN!,93,0,pro-Gaza/Palestine
Disband the UN .,84,2,neutral
"That formal employee is a US army medal winner, fox news is now calling US army officials as Hamas ... Wow!",10,0,pro-Gaza/Palestine
"No criticism allowed...! Apparently ""freedom of speech"" is only allowed when is beneficial to the Zionists...!",6,0,pro-Israel
Such lies about Aguilar. This is standard operating procedure for deceivers: attack the messenger but don't address the substance of his arguments.,10,1,neutral
Yet nobody worries about the Christians,87,2,neutral
"Just another one of many examples that differentiate between the people who SAY they wanna help and people who ACTUALLY do something to help. Trump , once again has shown the world that he is a man of action and not just talk.",81,4,neutral
Get the UN out of america today .,36,0,neutral
Johnny Boy just earned himself a lawsuit. What a leech,2,0,pro-Gaza/Palestine
That is not so there are plenty of food trucks stolen everyday by Hamas & they are the ones starving the Israeli hostages.,33,0,pro-Gaza/Palestine
"I don't get what's so hard to understand that the UN is working with Hamas. The US spent about $60 million, hundreds of trucks crossed to the Gaza side, and the food was rotted and thrown into the sea because the UN doesn't like American aid with the GHF, so they simply didn't distribute the food, when at the same time the ""starvation campaign"" began, and Hamas, as part of the ceasefire agreements, demands that the UN distribute the food. What could be clearer than that?!",47,5,pro-Gaza/Palestine
"We saw Hamas drive a semi of food off, while they sat on top carrying rifles to fight of the citizens. There's vidoe of the Hamas theft, geez.",69,3,pro-Gaza/Palestine
Hamas needs to spend their money on the citizens. And none on war.,59,5,pro-Gaza/Palestine
And. What about Hamas purposely starving the hostages…..it’s appalling,80,17,pro-Gaza/Palestine
Gaza Fatigue,95,9,pro-Gaza/Palestine
"PSA: it is not America's moral or legal obligation to feed Hamas or Gaza, in so far as anyone can distinguish the two.",50,11,pro-Gaza/Palestine
I believe the Green Beret that served 25 for the US.,2,0,pro-Gaza/Palestine
They need birth control not food,60,11,neutral
UN needs to be dismantled.,17,0,pro-Gaza/Palestine
The BBC have been caught sending an internal email instructing staff to give a negative view of Israel.,20,3,pro-Israel
OH SO THIS NON-PROFIT GURU HAS ALL THE ANSWERS YOU GOT TO BE KIDDING ME WHAT A SHAM,2,0,pro-Gaza/Palestine
hamas is using food for recruiting.,57,6,neutral
The US needs to pull out of the UN because the UN has proven over and over that they cannot get their act together. Maybe NATO can be a better fit in the future.,27,4,neutral
The UN and Hamas are the same organization,17,0,pro-Gaza/Palestine
Citizens and taxpayers of this Republic are not wage slaves for the world. Let the rest of the world figure it out. Lock down this hemisphere.,10,0,neutral
We knew this,25,0,neutral
Never vote blue again!,64,12,neutral
I‘m Swiss and I’m appalled by the UN. They had 18 years to deliver aid and they effed up big time. They don’t take responsibility.,21,3,neutral
Obviously you have never been in a war zone or served in the military.,6,0,neutral
Look up Tony Aguilar.,16,1,neutral
"Get the United States out of the U.N. Without our money, they'll fold in a year. 🇺🇸",19,0,neutral
