text,likes,replies,predicted_stance
"He wasn't pleading, he was speaking honestly and straightforwardly.",496,13,pro-Ukraine
You're asking the UN for help? Thats like asking a serial killer to solve a homicide.,478,13,pro-Ukraine
Maybe we should send Harris into Ukraine right now to find the “root cause” of Russia’s invasion… she’s done a fantastic job at our border so far…,156,18,pro-Ukraine
"NOTHING IS BUILT, NOTHING IS BACK, NOTHING IS BETTER",78,6,pro-Ukraine
We have a president who could have prevented this but wants to poke his nose into something that us Americans don’t care about or want no part in but for his own financial and political reasons now this is where we’re at. I hope the people who voted for him are happy.,310,22,pro-Ukraine
"""And ye have heard of wars and rumors of wars: see that ye be not troubled: for all these things must pass, but the end is not yet."" MATTHEW 24:6",223,16,pro-Ukraine
"""Don’t underestimate Joe’s ability to f--k things up"" Barack Obama .",271,7,pro-Ukraine
"Please dear God I pray to you to stop the people of GREED, and WAR and spare the innocent. My heart and prayers go out to all the innocent men, women, and children hurt/destroyed by this evil.",15,0,pro-Ukraine
God be with the families on the ground and the troops about to mobilize truly speechless,325,15,pro-Ukraine
"They’re not going to do anything, Europe is dependent on its energy from Russia, it’s what happens when you stop building nuclear power plants and instead build windmills",98,6,pro-Ukraine
To think these are modern times of a so called civilized world,46,1,pro-Ukraine
Man got to love those sanctions they really scared Putin by God. Lmao,63,4,pro-Ukraine
"“There is no purgatory for war criminals, they go straight to hell ambassador”",16,0,pro-Ukraine
If you voted for biden over Trump hope you are happy now this is your fault peopleare going to die because of it.hope u sleep well dems,114,5,pro-Ukraine
"The very definition of an awkward situation, having to be in the same room with a ambassador for a country you just declared war on.",61,3,pro-Ukraine
"Please spare this world of more war and destruction! We’ve had enough….we need leaders who are actually strong, capable, & respectable. May Divine Light be with Ukraine and it’s people.",35,1,pro-Ukraine
Well…I hope everyone has bunkers to hide in. This isn’t going to end well.,18,0,pro-Ukraine
Y’all I’m tired of living through major historical events,92,11,pro-Ukraine
The big guys going to loose his 10% .,20,2,pro-Ukraine
May God have mercy on human race !!,60,0,pro-Ukraine
90% of The Americans don’t know where Urkraine is,8,2,pro-Ukraine
This guy's speech is perfect,77,6,pro-Ukraine
This would never happen if Trump was in the White house,33,0,pro-Ukraine
81 million votes,32,6,pro-Ukraine
This is so heartbreaking. I hate that this is happening. I’m so sorry.,52,0,pro-Ukraine
Let’s hope the UN is smart enough to sit this one out or Europe may become a smoking inhabitable glass parking lot for the next 100 years,38,7,pro-Ukraine
Thinking this is falling on deaf ears?,1,0,pro-Ukraine
Perfect timing since it's the same day as the freedom convoy,37,2,pro-Ukraine
"Meanwhile, in Taiwan . . .???!!!",1,0,pro-Ukraine
Sad day. Sending prayers to Ukraine.,105,5,pro-Ukraine
"Dear God, please protect the Ukrainian and their country.",52,3,pro-Ukraine
i am PRAYING ROSARIES. Look up the power of this prayer. Heaven is weeping.,6,1,pro-Ukraine
Is Joe sleeping️️,2,0,pro-Ukraine
"“We hold these truths to be self-evident. All men and women created by — you know, you know, the thing.” - President Potato Head",23,4,pro-Ukraine
Pray .............. FOR PEACE ...,1,0,pro-Ukraine
The UN is powerless to do anything other than sit on their hands and watch! He'd be better off asking the Girl scouts for help.,17,1,pro-Ukraine
Let's go Brandon!!!,42,0,pro-Ukraine
"Democrat Tulsi Gabbard (a veteran) summed it up best: ""this war could have easily been avoided if Biden acknowledged Russia’s legitimate security concerns regarding Ukraine’s becoming a member of NATO, which would mean US/NATO forces right on Russia’s border,"" Gabbard tweeted late Wednesday night....",8,0,pro-Ukraine
Ah...so I've been watching the live feed and the Ukrainians are going to work like it's just another work day.,11,0,pro-Ukraine
Putin already said on the record what Russia will do.,44,3,pro-Ukraine
I just want peace,12,0,pro-Ukraine
Trump made north & South Korea shake hands he could have prevented this.,13,1,pro-Ukraine
WE AS EUROPEANS HAVE DUTY TO HELP UKRAINE THIS IS HORRIBLE AND SHOULD HAVE NOT BEING ALLOWED ALL SUPPORT AND PRAYERS TO UKRAINE 🇭🇷🇨🇦 I hope Croatia sends military to Ukraine...,1,0,pro-Ukraine
Putin is about to get to the bottom of bidens shady deals.,25,5,pro-Ukraine
"Im very sorry for the people of ukraine, but as an american.......its not my problem. Tired of war.",1,0,pro-Ukraine
Good job Biden voters,41,4,pro-Ukraine
Awful and unnecessary,1,0,pro-Ukraine
Prayers for Ukrainian people. Trump would not allow this attack on Ukraine.,47,9,pro-Ukraine
Is this the same UN spotted in Canada dressed as police but without any insignia and roughing up citizens?,1,1,pro-Ukraine
ukranian border seems so important why isnt our southern border being taken this seriously?,17,1,pro-Ukraine
Would never happen under trump…no way no how,2,0,pro-Ukraine
"It's okay, the US military has a secret weapon: Emma and her two mom's",43,3,pro-Ukraine
"You can only poke the ""Bear"" for so long until...",2,1,pro-Ukraine
"A lot of good asking the West for help will do. Ukraine should have kept their nukes, rather than rely on US assurances for security. Like South Vietnam, Afghanistan, and now Ukraine ... the US's promises of security is transitory, unlike inflation.",18,1,pro-Ukraine
This speech will go down in history,2,0,pro-Ukraine
"There is a lesson to be learned here. When your country is next to a superpower, you don't invite his enemy over and host their weapons, and troops. Humble pie is being served.",11,3,pro-Ukraine
All the dancers and prancers in the white house have a lot of blood on their hands.,2,0,pro-Ukraine
Russia: Invades Ukraine Europe: On the edge of WW3 Biden: You know the thing. I got hairy legs... Happy Valentine's day folks!,7,0,pro-Ukraine
"As I watched this UN meeting live it broke my heart. Prayers for peace and safety, prayers for families, children, and all the people that are scared and in tears for their safety and future. That includes me to a point and those of us that are not hearing bombs need to thank the God Lord. Be thankful, be forgiving, and be saved.",19,0,pro-Ukraine
80 million Joe biden voter wanted this,5,2,pro-Ukraine
Wow! Just coming home from work hearing this,4,0,pro-Ukraine
"In the early 1990's when Russia was turning its back on communism and looking to open up its economy, they asked Nato if they could join the alliance. But the US or Nato, or both, turned them down and so pushed them to the fringe of Europe and by doing so turned them into an 'enemy' of the West. “He (Putin) told Frost it was hard for him to visualise Nato as an enemy. “Russia is part of the European culture. And I cannot imagine my own country in isolation from Europe and what we often call the civilised world.”” The Guardian (world/2021/nov/04/ex-nato-head-says-putin-wanted-to-join-alliance-early-on-in-his-rule) The way forward now is to open the door for Russia to become a member of the EU and Nato. There is no other viable way towards a future that does not involve conflict.",8,1,pro-Ukraine
What would the US do if Mexico sign an alliance with Russia that would lead them to have nukes on the border pointing at the US? This would be the equivalent.,10,1,pro-Ukraine
As our former vice president Biden sits back and watches,8,1,pro-Ukraine
"In keeping silent about evil, in burying it so deep within us that no sign of it appears on the surface, we are implanting it, and it will rise up a thousand fold in the future. When we neither punish nor reproach evildoers, we are not simply protecting their trivial old age, we are thereby ripping the foundations of justice from beneath new generations."" - Aleksandr I. Solzhenitsyn",33,4,pro-Ukraine
Time to head for California!,1,0,pro-Ukraine
The UN is pathetic lmao,5,1,pro-Ukraine
This is exactly what I was afraid with sleepy Joe.,9,0,pro-Russia
Mr Ambassador of Ukraine- who started this crisis? Your govt. Putin does not bluff.,14,0,pro-Ukraine
Did someone wake Joe Biden? Does he know?,1,0,pro-Ukraine
Prayers for Ukraine.,20,0,pro-Ukraine
Maybe the Ukraine should have listened to Russia's concerns instead of suckling on NATO's teats for so long. Belarus seems to be doing quite well.,3,0,pro-Russia
Volodymyr Zelenskyy Is handling the attack on Ukraine with unleashed emotion and calm logic.These are traits of a powerful leader.,4,0,pro-Ukraine
When your are left to plead not to be invaded your are done.,1,0,pro-Ukraine
Whoa. That is a very serious clip. We need to pray for Ukraine.,9,0,pro-Ukraine
There is one man that can fix this mess. Guess who?,1,0,pro-Ukraine
"Our love & prayer is with the people of Ukraine, those who fought for truth and justice and always reminded with honor, and there is no glory being a thug.",28,1,pro-Ukraine
Wait do they always speak English to each other or are they doing this for our benefit?,1,0,pro-Ukraine
What a mess cos weak geriatric resident Bribe’em installed in the white house,4,0,pro-Ukraine
Lets break out the nukes and go for a reset!!,1,0,pro-Ukraine
Not much you can do!... USA has a weak administration to begin with!.. (Benghazi team),16,0,pro-Ukraine
Amazing grace. 🇺🇸🇺🇦️May peace be with you tonight. Thank you for this reporting job tonight! ️,2,0,pro-Ukraine
"As prime minister Modi said; UN is weak, old and helpless Need a revolution in UNSC.",18,0,pro-Ukraine
I hear the French are already waving white flags.,8,0,pro-Ukraine
Old Joe has us in deep sh*t now!!,4,0,pro-Ukraine
I pray this doesn't escalate to something devastating. There is no need for any of this.,7,1,pro-Ukraine
"This is absolutely heartbreaking USA, we can do better by the world. Heartbreaking! Where is NATO? Where is Biden?",4,1,pro-Ukraine
Just as planned,1,0,pro-Ukraine
I see he's safe in New York(just stay out of the subway)...,3,0,pro-Ukraine
"Meanwhile, Joe Biden is having ice cream.",2,0,pro-Ukraine
we are getting dragged into this im willing to bet GOD BLESS evryone,5,0,pro-Ukraine
Theatre; why two Russian speaking people talking in English?,1,0,pro-Ukraine
Let's go Brandon !! Maybe it will be a mostly peaceful war.,46,6,pro-Ukraine
If your worst enemy kept moving closer and closer to your house...what would you do?,2,2,pro-Ukraine
God help Ukraine! My prayers and hopes are with you my fellow brothers and sisters,21,2,pro-Ukraine
"I'm feeling sad for Ukraine and it's people, and want to give tight slap to US diplomacy, they knew from last two months that ""Russia will attack Ukraine"" and now when it is happening they left ukraine without helping them.",13,5,pro-Ukraine
Prayers for Ukraine we US are with you !,6,2,pro-Ukraine
"It's a disgrace Ukraine didn't settle things peacefully with the Eastern territory for the past 8 years, which Russia did for them. Not to mention forbidding the use of Russian language. That's some way of ""protecting your sovereignty.""",5,2,pro-Ukraine
"Russia is not invading Ukraine. It's aiding Eastern Ukrainians in driving troops of the official Kiev off the lands of the Donetsk and Luhansk regions. Russia has enough land of its own to fight for more. There is only one logic here: Ukraine that has failed to meet the Minsk Accords' provisions (ceasefire, amnesty, amendments to the constitution to grant a special status to the Luhansk and Donetsk regions) has to leave now. 8 years was long enough for the Kiev regime to fulfill its obligations.",10,0,pro-Russia
Why'd Putin wait 4 years to do this again?....,1,0,pro-Ukraine
Biden really handled that well. How inept a administration this is .,12,1,pro-Ukraine
️🇺🇦🇺🇸️,2,0,pro-Ukraine
God Bless the people of Ukraine and Russia. They will sort it out. What about Freedom Convoy and mandatory vaccination?!,4,2,pro-Ukraine
"dude, u should have bought more hunters paintings.....",1,0,pro-Ukraine
"Don’t blame me! I didn’t vote for no Brandon!!!! Let’s go, Brandon!!!! The whole world is watching Brandon’s reaction. China, Iran, and North Korea! Trump told NATO to stop buying Russian oil, and to pay their NATO obligations. Our allies didn’t listen. I bet the free world sure wishes Trump was still POTUS.",11,2,pro-Ukraine
"This is a very useless talk. The Ukraine needed to stop playing with wire when they knew they have an aggressive neighbore who does not like the idea of having Nato as their neibore. Just think of it this way: Russian military in Canada, In Meixo and Russian War ships parked by US on the pacifict ocean and atlantic ocean. Than things become clear why all of this mess is happening.",8,12,pro-Ukraine
"Pride has brought us to this moment. Everyone now understands that Putin was deadly serious about the NATO issue. What would it have costed Ukraine to declare and adopt a status of neutrality and pursue a stronger economic and social integration with the West if it wanted to? Instead, it seems like its young president was egged on into full confrontation with the king of the North.",17,0,pro-Ukraine
I'd bet my life this NEVER would have happened with President Trump still in office. Putin sees complete weakness from Brandon and he is taking advantage of him.,6,1,pro-Ukraine
"And why this ambassador is so calm. He talks so quietly as if nothing serious is happening. He must know something. Otherwise, VERY strange!",4,0,pro-Ukraine
... where there is weakness or absence of leadership and strength there is a vacuum and it will pull something of strength rather good or bad into it into a position of power.. and that's just reality.,1,0,pro-Ukraine
Let Ukraine handle it's own business. Not our problem.,4,0,pro-Ukraine
I'm not one for making dark jokes But I think sabaton might have to drop a new album.,1,1,pro-Ukraine
"It’s amazing how Putin is basically saying “because there are seperatist groups fighting in Ukraine, that gives us a legitimate right to enter an independently existing nation with our military force” Who is he trying to fool at this point? He is a one man circus act, seriously. It would be comical if it wasn’t so sad for the Ukrainian people.",2,2,pro-Russia
"got to thank president biden i believe his exact words to putin were ""just make it a small war""",2,0,pro-Ukraine
This may be the beginning of the third world war. Prayers are urgently needed for peace.,4,2,pro-Ukraine
People in just a couple of years will have forgotten already all these threatens and insanity!!,0,0,pro-Ukraine
"Every bit of blame is on FJB, his “military people” ANd the Republicans who are not standing up. DOES NOT NEED TO HAPPEN",7,1,pro-Ukraine
That' why Nuclear deterrence needed,1,0,pro-Ukraine
"I know this much, Russian winters are long and cold, and nobody has ever best them on their own land during the winter.",10,3,pro-Ukraine
