text,likes,replies
That is an incredible save! Way to help your fellow Ukrainian. 🇺🇦,83,0
"lol broo deserves a movie , what a survivor",183,8
"""... and the deadline is now just days away..."" And then.... he'll chicken out again.",160,16
Wow much respect to this Soldier,18,0
Ukrainian troops are unbelievably resilient. Truly fearless.,32,0
Some day they will make a mini series about each of these stories of heroism.,33,1
he has a Beautiful Angel watching after him !,10,1
A Hero. Crazy.,29,0
Ukrainian soldiers are incredible. So tough.,80,3
Peace and healing to strong united Ukraine 🇺🇦,18,0
Witkoff.... What a joke,35,0
"Yeah, let’s send Trumps real estate buddy to negotiate with the ex KGB agent. “Only the best people…”",110,9
What a story!!!!!,17,0
"The American people are with Zelenskyy and Ukraine, not Russia.",38,4
This so-called president needs to muster a little courage. Help Ukraine.,36,2
God I love Ukrainians ️ truly awesome people,16,0
This war would have been over by now if Trump had honored U.S. agreements and sent promised assistance. Put Trump in prison where he belongs.,71,10
Never leave your fellow soldier aloneor behind.,4,0
"I don't reckon that it was ""luck"" but by the grace of God! Thankfully, the gallant soldier survived with the crucial help of his courageous comrades and colleagues; bless them. God be with the valiant AFU and ""divine judgement ... in the enemy,"" please.",6,0
Rescue Team: Hold on soldier! W'e're going to drone-drop you a way out of there! Drops Bicycle from the sky.,42,4
"Great ingenuity amid a crisis. It got me thinking whether a bike can protect from land mines in general, there could be an ebike cavalry",15,4
The entire world is growing increasingly frustrated with Trump,37,1
"""Meanwhile, maga tries to ban ebikes on Ukraine.""",11,0
I thought Trump pledge to end this war in one day?,11,0
EPSTEIN FILES EPSTEIN FILES EPSTEIN FILES DONALD,44,1
🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦,38,0
Putin playing trump like a fiddle,71,5
TACO Don. Lotta nuthin’,13,0
Thank God you are save and sound and so sad your follow soldiers did not make it (RIP) so sad . Always and forever Glory to Ukraine .,1,0
Unlike Russia. Ukraine tries to save their fellow man and not kill them. Russians call i want to live.,16,0
"Trump still doesn’t get who pays the tariffs! He said in his post, you just read out, tariffs paid by India to the USA! The US will pay those tariffs. Tariffs are paid by the buyer.",4,0
I want a movie like this,1,0
Slava Ukraini!,25,0
"That last line of the correspondent brought a tear to my eye. ""Nothing can beat luck."" War is SO terrible - but the right side needs to win not concede.",0,0
Super brave,18,0
God is Great. Old man from Calif. Praying for Andrres health.,1,0
That is incredible clips,1,0
"Wow that’s amazing, the bike took all of the blast. The bike still saved his life.",0,0
Ukraine is going from success to success - good to know.,8,2
