text,likes,replies
"My dad said ""If you let a bully take your money, he will take it every day. But if you fight, even if you lose, he won't bother you again because he knows he will have to fight you for it and he will move on."" Ukraine is doing what they have to....win or lose.",47,5
Everyone who didn’t believe this was happening must be upset,17,0
Why exactly are we even getting involved in this whole thing? Don’t we have our own borders to protect???,32,10
I want to express my gratitude to the United States of America for responding and giving us a helping hand in such a difficult time for us! God bless America!🇺🇦🇺🇸️,43,5
Those poor Ukrainian people also have to deal with CNN reporters crashing their market now. When will the suffering end?,25,2
Ukraine wants us to stop escalating the tension. Maybe we should listen for once.,124,50
"""They got money for war but can't feed the poor."" - Tupac",30,1
Believe half of what you see and none of what you hear!,9,1
Why is it that CNN's breaking news is always old news now day's? Seems like they only post something new every 3 days unless it's about Trump.,12,1
Translate for yourself what the Ukrainian soldier said that they are fighting with prohibited weapons! Bravo!,16,1
Is this as true as the weapons of mass destruction in Iraq?,21,6
She is the boldest reporter there is. Staying in Afghanistan and now here!,10,0
"Honestly, I couldn't dream of believing a single lie from CNN",20,6
"Can we get some footage of the combat on the ""front lines""?",12,7
So Putin is saying that America ordered him to place 100k Russian troops on Ukraine's border.,26,16
Each one of us have to choose peace. If you are reading this please choose peace,5,0
"Remember Pearl Harbor. People just sat there and relaxed. And said: ""We are ready for defense, but there will be no war!"" Then the first bombs and torpedoes fell on Pearl Harbor...",6,0
We looking for peace and love for both country..,9,1
Puțin must be very stupid! So now is our fault for what he is doing?,7,0
Love that. “You don’t need to see. And the enemy doesn’t need to see.” Exactly. STAY OUT OF IT!!! Our country needs to leave this situation alone. Ukrainians are right. Our country needs to quit trying to make a mountain out of a mole hill.,16,7
I saw another interview with a Ukraine soldier he said those towns near the boarder don't care if Russia takes them from Ukraine they are Russian's living in Ukraine.,11,4
"Can Clarissa Ward get a freaking Pulitzer already? Behind the lines in Afghanistan after the pullout, and now this?",13,4
Clarissa Ward is an American hero! Not just some random journalist. Thankyou for your courage and transparency!,10,2
"Bully walks onto the play ground and starts shoving kids around and taking their lunch money ""Look at them trying to draw me into a fight!""",25,1
I bet the Russians love seeing news like this... so much Intel for free,39,8
There are no front lines yet. You guys can't seem to wait for this conflict to begin just so you have something to report on. Like vultures circling an injured animal.,10,5
I would like to see the faces of these people if there's no war between Russia and Ukraine.,4,0
"We want compromise, not war, we want a world of humanity,",11,1
God bless and protect Ukraine.,9,2
Thx to anyone that support my Ukraine :),24,5
Thanks for USA,4,0
"""There is fighting all the time when it gets dark"" Really?",4,5
"Russia has allways been at Crimea. When Ukraine was separated from Russia in Soviet Union, Crimea was rented to Russia past anno 2100. How can you liars live with yourself? Russia have done horrible things but Russia did not annex Crimea period. That is just pathetic and sad where once proud CNN has come to.",11,7
The market workers have gotten the rude Russian awakening...,1,0
Is this North Carolina?,0,0
Can all the war-hawks join her over there and stay to fight?,13,1
Thank you Clarissa Ward.,1,0
Glory to Ukraine!,46,12
Ukraine you better give your hand safely with no blood.,1,0
Thanks to cover this conflict pushed by Russians against Ukraine. And thanks to US to deliver weapons to Ukraine. I stand to the people there.,7,0
"Be safe, Clarissa.",1,0
"""I'm leaving in six hours. If the prosecutor isn't fired, you're not getting the money."" - Joe Biden",6,1
One hundred thousand troops is not enough evidence of imminent agression?,1,0
"And FOX ""news"" is trying to convince me us that Russians are the good side in this",5,1
i feel war is bad when weather is so cold,0,0
How about some footage from our border? US BORDER!!!,17,5
