text,likes,replies
Can someone please arrest this International War criminal already!?!,93,3
Actually the headlines should read 'Israeli security council considers the best way to look like victims as they continue the genocide',121,10
like this wasn’t the plan from the beginning.,48,1
When will a Palestinian be hosted to talk! It’s absurd to talk about something for two years without having one side ever represented.,47,2
This is genocide,87,10
Why he is still not being arrested for committing GENOCIDE?!?!?!,53,2
That’s not the headline I want to read. What I desperately want to read is “Nations discuss at UN special meeting how to stop Israel”!!,51,1
The longer netanyahu keeps war going..the longer he stays out of jail and avoids a election,58,6
I support a free ticket for Netanyahu to Haag.,49,5
This is genocide!,48,3
The world is watching,11,1
"You can't spell Israel without the word...... L-I-A-R-S If they’re Black, then it’s a gang. If they’re Italian, it’s a mob. But if they’re Jewish, it’s a coincidence and you should never speak about it.” -Dave Chappelle",5,0
The west has a special talent for writing the darkest pages of human history,2,1
"Shame onthe genocide , Iam Jewish, My parents wanted peace!!",21,1
Sick,8,0
This was always the goal.,12,1
Is it still a debate?!,3,0
Jesus Christ. This must be the most embarrassing Freudian slip in history.,3,0
Thanks for telling us the truth about your genocide plan,14,0
How would this decision affect civilians already struggling to survive in Gaza?,1,0
They are debating how to hide the smell.,1,0
Who is to blame for aid not reaching Gaza? Israel could feed Gaza... IF THEY WANTED TO,12,2
They already did occupy all of Gaza and had 21+ settlements there but withdrew in 2005 because it did not go well. It has been a blockaded open air prison ever since (although a prison has food and isn’t carpet bombed daily).,12,3
Palastines need their country back ! Hurry England and France because the Dutch are only complicit.,3,0
PLEASE SAVE GAZA,5,0
NETANHITLER DOING WHAT TO PALESTINE ??,13,0
"Netanyahu , must be taken to court!!",17,3
"This is an atrocity, Netanyahu and his cabinet should all be arrested for war crimes. This is not Israel’s land. All countries that do trade with Israel should stop at once including all food and weapons.",11,4
يا عالم انقذوا أطفال غزه,6,1
"A truck carrying relief supplies overturned on Wednesday in the Gaza Strip, killing at least 20 Palestinians amid what has been described as 'Israeli-engineered' aid delivery chaos. According to local media, the Israeli army forces the trucks to take unsafe and unsecured routes that were previously bombed and rendered unfit for passage. The practice is part of what the Gaza-based Government Media Office called a policy of ""engineering chaos"" to maintain widespread starvation in the Gaza Strip. ""This reveals the occupation's deliberate attempts to force civilians into danger and death as part of its engineering of chaos and starvation,"" the office said. Israel has been accused by leading human rights groups and experts of the crime of starving civilians since the beginning of its war on Gaza in October 2023.",5,0
GəZə 2025= A0chvitz 1944!,8,2
Day 200 of not stopping the wars on day one,8,1
"""move Hamas there and enable the population to be free of Gaza"" What?",3,0
just let people eat,4,1
"Netanyahu is losing support and causing chaos within Israel and the Knesset. There are different Jewish sects that are against him. The Haeredi have declared ""war"" against him over forced conscription.",4,0
"""enable the population to be free of Gaza"" What does that mean?",3,0
This time we won’t forget.,2,0
They are debating whether to steal,1,0
Stop genocide,9,3
Isnt there an arrest warrant for BiBi?,5,0
Why is it impossible to adopt children from the confinement areas of Palestinian people that are being terrorized and have dead parents. Some of these children are in desperate need of health and family care.,2,0
He has been saying this for 22 months failure after failure where are the hostages. Did he destroy Hamas???,2,0
"Palestinians deserve their own state. So do the Tibetans, Uyghurs, and Hong Kongers 🇭🇰.",6,1
They already approved. Aint no debate,2,0
For 50 hostages over 2 million people suffer or are dying of hunger or of bullet. Now that is some crazy comparison.,1,1
"This isn't a surprise, this was his plan the entire time. Power hungry.",3,0
