text,likes,replies
"From ""never again"" To ""Our turn""",174,1
It was their plan all along from the beginning.,262,22
We live in a world where starving children to death is considered self defense.,15,0
"""Most Zionists don't believe that God exists, but they do believe that he promised them Palestine."" Ilan Pappé",119,1
The west has a special talent for writing the darkest pages of human history,163,12
"77 year long apartheid, 18 year long blockade of Gaza and now committing genocide. PURE EVIL",196,18
I am absolutely disgusted by what we're seeing. Nobody should be starving in the modern world.,41,4
"Absolutely disgusting, and the fact that congress still gives standing ovations to netanyahu inspite of all this is insane.",20,1
Now American taxpayers are bearing the cost of Netanyahu's crim،es once again.,140,9
Gotta get it done before the files get leaked.,29,2
This is not about any of the Israeli military prisoners that with hamas. This was all about expelling Palestinians out of their country all along,107,8
We have failed the children of Gaza,100,19
I love my country but hate 90 % of our government leaders,31,1
Defund Israel and Free the Palestinians from this barbaric suffering!,115,7
"The sanitized language throughout this segment describing Jenna Cide and ethic cleansing is beyond criminal. From their passive language, you’d think they were describing a leisurely stroll in the park and not BiBi’s final solution.",51,3
"Time for all countries to stop trade; food, weapons with Israel, let them go it alone. Also bring in a UN peacekeeping force to distribute aid to Palestinians, they can also kick the IDF out. Netanyahu and his cabinet should all be arrested for war crimes. It is discussing that the “Never Again” people are doing to the people of Gaza what was done to their “people”. Any support they once had should be gone.",69,7
Pure evil,30,1
We can’t even call them animals because it’s offensive to animals,2,0
We all know they will never allow the Palestinians go back.,21,0
Netanyahu loves ‘Jenn no side’,60,7
"Well this has been the first plan, it is just now they comfortably announced it",33,2
This is totally Genocide,33,5
Trump will give them the money from the tax we are paying for the tariffs.,9,0
It’s like they actually want you to hate them. I’m fine with that. Israel is becoming the pariah state it should’ve been all along.,33,1
"Disgraceful, disgusting",46,4
Imagine stopping a particular group of people from being persecuted only for that group to then go on and persecute a group of people. It’s really looking like 2 sides of the same coin.,9,2
Do you mean occupy Gaza? What is taking over?,22,0
"Instead of arming Israel, Ukraine and Taiwan; US tax payer money should be spent on infrastructure, healthcare, education, homelessness etc.",19,6
So no one is going to do anything? every country in the world is just gonna sit back and watch this unfold??? WTF!,5,2
Save this comment. The world will not forget what Isreal is doing to the Palestines! The WW2 Hitlers of our time.,5,0
"We live in a world where you can comfortably deny a genocide happening live before our eyes, but can go to jail for questioning a genocide that happened 85 years ago.",1,0
From the river to the sea Palestine will be free.,34,6
CNN needs to remind viewers EVERY TIHEY mention his name:: ¨Wanted For War Crimes- B. Netanyahoo¨,4,0
The Western Master Race for 500 years has been the source of all trouble in the world. (Sergey Lavrov),4,0
It's going to take decades maybe 50 years to rebuild that entire area,14,4
The IDF failed its mission in Gaza. IDF is unable to eradicate or even tame Hamas. Netanyahu needs to go.,3,0
"They did it to us germans in 1945. 14 million of us displaced. Now, they are doing it to these people. As general Patton said, you 100% fought the wrong enemy.",7,2
