text,likes,replies
Fox News need to read the comments and they won’t have crazy people like this on .,42,3
Why would they not all journalists into Gaza?,28,2
"-""My best friend in Congress is the other highest recipient of AIPAC funding"". What a coincidence...",60,6
Then they should not have let Netanyahu radicalize them.,19,1
Everything this person says is pure projection.,15,0
Fox News care more about America than Israel for 2 seconds challenge (impossible),49,3
also Israel had been warned by Egypt that Hamas was planning something . And in a city the size of new jersey a delayed response that allowed the level of damage that Hamas inflicted. Hamas did exactly what Israel wanted an excuse,16,1
American should work harder to pay more tax for that,2,0
"""The biggest insult to the memory of the Holocaust is not denying it, but using it as an excuse to justify the genocide of the Palestinian people."" - Norman Finkelstein",15,1
"2. The letter which I have given to our Indian government, I have also given that letter to the ambassadors of foreign countries whose embassies are in Delhi. I am going to mention the names of those embassies in my letter. USA, ARUSTRALIA CANADA, BHUTAN, NIGERIA, SINGAPORE, VIATNAM, SOUTH KOREA, QATAR, Italy, ROYAL THAI, GHANA, ETHIOPIA, MALASIYA, SAUDI ARABIA, GERMANY, RUSSIA, PAKISTAN, SRI LANKA, FRANCE, NETHERLAND, AFGHANISTAN, SWEDAN, FINLAND. SWITZERLAND, UNITED ARAB EMIRATES, HUNGARY, CZECH REPUBLIC, KUWAIT, SUDAN, POLAND, TURKEY, PHILIPPINES, NEW ZELAND, CUBA, BRITAIN, SPAIN I want to tell my government that many types of biological weapons are being used against the country. The weapon which I have described as artificial is a kind of laser weapon which emits laser rays and gamma rays. I want to tell my Indian government that I know many such things which even my Indian government may not know. I want my Indian government to do something about it as soon as possible. I am ready to help my Indian government in whatever way it needs. 1. We can see nano particles, silver particles, golden particles in the phone's flash light by turning off the lights of our office or home room. 2. I claim that these particles are in our drinking water, bath water, food and our entire environment 3. The aeroplanos I have mentioned in my letter are spraying electronic waves and silver particles, golden particles, nano particles and Evola virus and along with these aeroplanos, drones are also flown which look like airplanes. 4. We must have seen that nowadays a lot of heavy mercury lights and LED lights have been installed in India. Due to their waves, these particles spread everywhere. 5. The particles I have talked about in my letter are found in Indira Gandhi Airport, Supreme Court, India Gate, Chandni Chowk, South Delhi, Punjabi Bagh, Chanakyapuri, Noida and all over NCR. They are also present in other cities like Haryana, Punjab, Uttar Pradesh (UP), Bihar and Uttarakhand. 6. The laser weapons I mentioned in my letter are placed above and behind the artificial clouds. 7. The satellite I mentioned in my letter looks like a star, which is Elon Musk's Starlike Satellite The letter which I have given to my Indian government, I have also given that letter to the ambassadors of the foreign countries whose embassy is in Delhi. I am going to mention the names of those embassies in my letter.of USA, AUSTRALIA, CANADA, BHUTAN, NIGERIA, SINGAPORE, VIATNAM, SOUTH KOREA, QATAR, ITALY, ROYAL THAI, GHANA, ETHIOPIA, MALASIYA, SAUDI ARABIA, GERMANY, RUSSIA, PAKISTAN, SRI LANKA, FRANCE, NETHERLAND, AFGHANISTAN, SWEDAN, FINLAND, SWITZERLAND, UNITED ARAB EMIRATES, HUNGARY, CZECH REPUBLIC, KUWAIT, SUDAN, POLAND, TURKEY, PHILIPPINES, NEWZELAND, CUBA, BRITAIN, SPAIN. I want to inform my government that our India is being attacked with many kinds of BIOLOGICAL WEAPON. I have described the sun, it as artificial. It is a kind of LASER WEAPON from which laser rays and gamma rays emanate. I want to tell my Indian Government that I know many such things which even my Indian Government may not be aware of. I want my Indian Government to do something about it as soon as possible. Whatever help my Indian Government needs from me, I am ready to do it. 1. We can see nano particles, silver particles, golden particles in the phone's flash light by turning off the lights of our office room and home. 2. I claim that particles are in our drinking water, bathing water, in our food items and in our entire environment. 3. The airplanes that I have talked about in my letter are spraying electronic waves, silver particles, golden particles, nano particles and Evola virus and along with these airplanes, drones are also flown which look like airplane. 4. We must have seen that now a days a lot of heavy mercury and LED lights have been installed in India. Due to their waves, these particles spread everywhere. 5. The particles I mentioned in my letter are mostly located around Indira Gandhi Airport, the Supreme Court, India Gate, Chandni Chowk, South Delhi, Punjabi Bagh, Chanakyapuri, Noida, and throughout the NCR. They are also present in other cities like Haryana, Punjab, Uttar Pradesh (UP), Bihar and Uttarakhand. 6. The laser weapons that I have talked about in my letter are used to create artificial clouds and place them above and behind them. 7. The satellite I have mentioned in my letter looks like a star, which is Elon Musk's Starlink Satellite. GAURAV ARORA Add.: H.No.281- CHHURIYA MOHALLA, VILLAGE TEKHAND, OKHLA PHASE-1 DELHI-110020",1,0
