text,likes,replies
As an American it's starting to get harder and harder to pretend we're the good guys.,63,7
What happened to General Keane and General Kellogs' optimistic narratives? They have been preaching that Ukraine was kicking Russia's butt. No?,0,247
I didn't worry about nuclear war until Biden said don't worry about nuclear war.,105,12
American government needs to stop stoking this war.,89,8
"All this thanks to insane MaCain, Nuland and Hunter.... Back in 2014",197,6
"The US never allowed the USSR to install missles in Cuba, next door to Florida. Putin is doing exactly the same in Ukraine. If Ukraine joins NATO that means the Poland based US missiles would be seating next to Russia. Nobody is talking about this.",146,22
How can she say “Russia is richer than they’ve been in decades” and then say “no one is investing in Russia” both within the same minute?,186,28
Let them fend on their own. We need to stop solving the worlds problems as an American,1,0
If they were labelled as american military personnel then the chances of getting them back would have been very little but the fact they are labelled as mercenaries makes that chance ZERO,778,102
Don't tell our incredibly honest President or he's going to rush over another 40B $,624,86
"Wrong, the fact that they are calling them mercenaries makes them criminals instantly, and the rules for ""enemy combatants"" dont apply for them, the UK already has two ""mercenaries"" sentenced to die",490,118
"How do you lose a war? Gradually, then suddenly.",9,0
"""After Ukraine loses the war we'll have a new UKraine tied to the West""- Does that make any sense to any one hearing that? Does anyone think that after all the lives lost Putin will let KT go back in there and rearm Ukraine?",512,49
MSM before: Russian military will collapse in 10 days MSM now: Russia can afford to fight forever,224,27
So the 40+ billion didnt help! Imagine that. I still wonder how they divvied it up.,8,0
"Hmm no posts on the successful Ukrainian offensive yet? I get it, if they do they will embarrass Tucker Carlson.",13,3
"Let me guess, we should let them launder another 40 bil and that will fix it?",273,31
Um... No. Ukraine lost a long time ago. They never had a chance against Russia. This is pathetic!,71,6
Hunter and Joe is not going to like losing their 10% from burisma...,298,21
Academy must give President Of Ukraine Oscar for best actor this year,53,5
"It's not Ukraine who's losing but America, at least Putin sees it this way.",139,8
"I don't feel sorry for the Mercenaries they went on SAFARI to hunt Russians for fun and got caught by their prey. Let them stay there. State Department had warned, don't go to Ukraine as there is an armed conflict there, these Mercenaries knew what they were facing",170,14
"Oh, no... Send them another 40 billion dollars immediately! No, 400 billion!!!",22,3
This is best comment. Truthful and mindful. Build Ukraine right after the war. She is very intelligent.,1,0
"Billions wasted, Billions into the pockets of politicians. How much time and money are taxpayers going to spend to get these knuckleheads back.",119,5
